tournament_id,event,dates,board_type,label,position,name,score,source_file
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,team,Team Leaders,T7,Canada,-13,raw/miniboards/tleaderboard_29433.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,team,Team Leaders,T7,Mexico,-13,raw/miniboards/tleaderboard_29433.html
29433,2025 Toyota Junior Golf World Cup - Boys,Jun 24 - Jun 27 2025,team,Team Leaders,10,South Africa,-2,raw/miniboards/tleaderboard_29433.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,team,Team Leaders,1,Thailand,-24,raw/miniboards/tleaderboard_29434.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,team,Team Leaders,2,Japan,-23,raw/miniboards/tleaderboard_29434.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,team,Team Leaders,3,United States,-16,raw/miniboards/tleaderboard_29434.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,team,Team Leaders,4,Canada,-15,raw/miniboards/tleaderboard_29434.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,team,Team Leaders,5,England,-8,raw/miniboards/tleaderboard_29434.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,team,Team Leaders,6,New Zealand,-5,raw/miniboards/tleaderboard_29434.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,team,Team Leaders,7,Colombia,-3,raw/miniboards/tleaderboard_29434.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,team,Team Leaders,8,Italy,+8,raw/miniboards/tleaderboard_29434.html
29434,2025 Toyota Junior Golf World Cup - Girls,Jun 24 - Jun 27 2025,team,Team Leaders,9,Morocco,+62,raw/miniboards/tleaderboard_29434.html
