type_code,event_id,dates,event,url,year,event_family
I,683,Jun 13 - Jun 14 2006,70th Annual Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=683,2006,Other
I,564,Oct 06 - Oct 07 2005,Leachman Buick-GMC-KHSAA Boys' State Golf Tourn.,https://score.golfstat.com/eventlist.cfm?type=I&eventid=564,2005,Other
I,563,Oct 04 - Oct 05 2005,Leachman Buick/GMC-KHSAA Girls' State Golf Tourn.,https://score.golfstat.com/eventlist.cfm?type=I&eventid=563,2005,Other
I,578,Sep 30 - Oct 01 2005,33rd Indiana Girls High School State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=578,2005,Other
I,549,Jun 14 - Jun 15 2005,69th Annual Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=549,2005,Other
I,486,Nov 05 - Nov 07 2004,Teens On The Green,https://score.golfstat.com/eventlist.cfm?type=I&eventid=486,2004,Other
I,481,Oct 15 - Oct 16 2004,Illinois High School Assoc. State Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=481,2004,Other
I,465,Oct 07 - Oct 08 2004,Leachman Buick-GMC-KHSAA Boys' State Golf Tourn.,https://score.golfstat.com/eventlist.cfm?type=I&eventid=465,2004,Other
I,466,Oct 05 - Oct 06 2004,Leachman Buick/GMC-KHSAA Girls' State Golf Tourn.,https://score.golfstat.com/eventlist.cfm?type=I&eventid=466,2004,Other
I,479,Oct 01 - Oct 02 2004,32nd Indiana Girls High School State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=479,2004,Other
I,446,Jun 15 - Jun 16 2004,68th Annual Indiana High School Boys State Finals,https://score.golfstat.com/eventlist.cfm?type=I&eventid=446,2004,Other
I,444,May 17 - May 18 2004,Oregon 4A Boys Golf Championship,https://score.golfstat.com/eventlist.cfm?type=I&eventid=444,2004,Other
I,378,Oct 17 - Oct 18 2003,Illinois High School Assoc. State Championships,https://score.golfstat.com/eventlist.cfm?type=I&eventid=378,2003,Other
I,301,Jun 24 - Jun 26 2002,COUNTRY Youth Classic,https://score.golfstat.com/eventlist.cfm?type=I&eventid=301,2002,Other
