tournament_id,event,course,location,dates,position,player,affiliation,to_par,today,r1,r2,r3,r4,total,round_sum,total_delta,source_file
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T71,Hallee Kuehn,Oak Creek,+60,+24,108,96,,,204,204,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T71,Macy Murphy,Janesville Craig,+60,+31,101,103,,,204,204,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",73,A. Fasciotti S Scher…,Brookfield Central,+61,+32,101,104,,,205,205,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T74,Kate Wixom,Janesville Craig,+62,+25,109,97,,,206,206,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",T74,Lauren Coombs,Brookfield Central,+62,+32,102,104,,,206,206,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",76,Alexis Hanson,Janesville Craig,+66,+32,106,104,,,210,210,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",77,Presley Castellano,Westosha Central,+68,+37,103,109,,,212,212,0,raw/junior_event_pages/player_29296.html
29296,WIAA State Girls D1 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D1 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",78,Hailey Goodman,Hudson,+71,+28,115,100,,,215,215,0,raw/junior_event_pages/player_29296.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",1,Belle Kongshaug,Colfax/Elk Mound,+9,+5,76,77,,,153,153,0,raw/junior_event_pages/player_29297.html
29297,WIAA State Girls D2 Golf Champion,University Ridge Golf Course - WIAA Girl's Championship D2 - Par 72 - 5216 Yards,"Verona, WI US","Oct 14-15, 2024",2,Addison Kofal,Saint Croix Central,+16,+13,75,85,,,160,160,0,raw/junior_event_pages/player_29297.html
